,CLIENTNUM,Categoria,Idade,Sexo,Dependentes,Educação,Estado Civil,Faixa Salarial Anual,Categoria Cartão,Meses como Cliente,Produtos Contratados,Inatividade 12m,Contatos 12m,Limite,Limite Consumido,Limite Disponível,Mudanças Transacoes_Q4_Q1,Valor Transacoes 12m,Qtde Transacoes 12m,Mudança Qtde Transações_Q4_Q1,Taxa de Utilização Cartão
6304,809626983,Cancelado,48,F,3,Ensino Médio,Casado,Less than $40K,Blue,43,3,3,3,1670.0,0,1670.0,707.0,2790,37,321.0,0.0
6311,772728933,Cancelado,50,M,2,Ensino Médio,Casado,$120K +,Blue,40,6,4,3,13709.0,813,12896.0,0.65,2511,40,0.6,59.0
6312,815320383,Cancelado,46,F,3,Não informado,Não informado,Less than $40K,Blue,41,5,3,2,4710.0,0,4710.0,717.0,2690,43,955.0,0.0
6323,714475908,Cancelado,43,M,2,Sem ensino formal,Solteiro,$60K - $80K,Blue,35,5,3,2,6348.0,0,6348.0,0.4,1732,39,393.0,0.0
6325,716790633,Cancelado,43,M,3,Ensino Superior,Casado,$60K - $80K,Blue,36,4,2,3,17239.0,0,17239.0,393.0,1789,38,357.0,0.0
6326,716127333,Cancelado,45,F,3,Ensino Superior,Casado,Não informado,Blue,36,5,2,3,18432.0,484,17948.0,557.0,2300,45,552.0,26.0
6329,780032208,Cancelado,44,M,3,Ensino Superior,Casado,$60K - $80K,Blue,34,5,3,3,14201.0,0,14201.0,574.0,2223,47,679.0,0.0
6334,789052308,Cancelado,40,M,3,Ensino Superior,Não informado,$40K - $60K,Blue,28,6,2,2,4323.0,0,4323.0,817.0,2451,38,727.0,0.0
6335,714948858,Cancelado,50,F,2,Não informado,Solteiro,Less than $40K,Blue,36,3,2,2,3647.0,2517,1130.0,842.0,2935,58,933.0,0.69
6340,719685408,Cancelado,40,M,2,Sem ensino formal,Casado,$60K - $80K,Blue,29,3,2,2,6332.0,318,6014.0,783.0,2505,43,536.0,0.05
6345,710284233,Cancelado,33,M,4,Sem ensino formal,Casado,$80K - $120K,Blue,36,5,3,4,1438.3,0,1438.3,0.98,2439,43,0.72,0.0
6347,713312208,Cancelado,53,M,1,Ensino Médio,Casado,$40K - $60K,Blue,43,1,2,3,3146.0,0,3146.0,414.0,1868,38,0.31,0.0
6356,779844408,Cancelado,43,F,1,Post-Ensino Superior,Casado,Less than $40K,Blue,27,4,3,3,1438.3,0,1438.3,481.0,2137,40,333.0,0.0
6362,801715383,Cancelado,45,M,4,Ensino Superior,Casado,$60K - $80K,Blue,39,6,3,2,12890.0,0,12890.0,576.0,2216,51,545.0,0.0
6365,714188883,Cancelado,46,F,5,Doutorado,Solteiro,Less than $40K,Blue,37,3,2,2,1787.0,0,1787.0,654.0,2345,36,286.0,0.0
6367,708536283,Cancelado,35,M,1,Doutorado,Solteiro,$80K - $120K,Blue,27,3,2,2,2904.0,2517,387.0,624.0,2653,46,586.0,867.0
6373,709307808,Cancelado,59,F,2,Ensino Médio,Casado,$40K - $60K,Blue,36,3,3,3,4375.0,0,4375.0,621.0,2507,53,472.0,0.0
6375,715701033,Cancelado,43,M,2,Ensino Superior,Casado,$80K - $120K,Blue,33,5,3,3,2111.0,1761,350.0,753.0,2112,46,769.0,834.0
6380,718826883,Cancelado,50,M,3,Sem ensino formal,Solteiro,$80K - $120K,Blue,36,6,3,2,6925.0,0,6925.0,821.0,2506,36,0.44,0.0
6384,815504583,Cancelado,48,F,4,Ensino Superior,Solteiro,$40K - $60K,Blue,43,3,2,4,1538.0,0,1538.0,684.0,2275,43,483.0,0.0
6388,709891608,Cancelado,41,M,2,Ensino Médio,Casado,$120K +,Blue,24,5,2,3,9924.0,0,9924.0,517.0,1949,43,483.0,0.0
6396,711949683,Cancelado,55,F,2,Ensino Superior Incompleto,Divorciado,$40K - $60K,Blue,36,6,2,3,4410.0,2517,1893.0,0.53,1883,44,0.63,571.0
6397,787747308,Cancelado,49,F,4,Sem ensino formal,Não informado,Less than $40K,Blue,39,6,3,2,3468.0,2517,951.0,746.0,2494,39,345.0,726.0
6399,779104608,Cancelado,34,F,3,Ensino Médio,Não informado,Não informado,Blue,15,5,1,3,1438.3,0,1438.3,689.0,2819,48,0.6,0.0
6402,713804883,Cancelado,46,F,4,Post-Ensino Superior,Solteiro,Less than $40K,Blue,37,3,2,2,1836.0,0,1836.0,323.0,1799,28,167.0,0.0
6405,753795633,Cancelado,48,F,2,Sem ensino formal,Casado,Less than $40K,Blue,41,5,3,2,2964.0,2517,447.0,699.0,2327,38,0.81,849.0
6411,817607358,Cancelado,44,F,2,Ensino Médio,Não informado,Não informado,Gold,35,3,3,3,34516.0,0,34516.0,767.0,2227,44,0.63,0.0
6418,712297683,Cancelado,47,F,3,Ensino Superior Incompleto,Casado,Less than $40K,Blue,35,6,3,2,1781.0,0,1781.0,693.0,2196,35,0.75,0.0
6419,714684933,Cancelado,40,F,1,Sem ensino formal,Casado,Less than $40K,Blue,28,5,2,3,3680.0,0,3680.0,729.0,2725,41,577.0,0.0
6420,720742083,Cancelado,48,F,4,Não informado,Casado,Less than $40K,Blue,36,4,3,3,2740.0,2425,315.0,816.0,2431,46,394.0,885.0
6434,721124658,Cancelado,40,M,3,Sem ensino formal,Solteiro,$80K - $120K,Blue,27,4,2,3,3427.0,0,3427.0,0.5,2625,63,0.5,0.0
6440,720815208,Cancelado,52,M,0,Ensino Médio,Solteiro,$120K +,Blue,39,5,3,3,34516.0,216,34300.0,556.0,2395,47,306.0,6.0
6444,720520308,Cancelado,46,F,4,Ensino Superior,Casado,Less than $40K,Blue,28,4,2,3,8318.0,2517,5801.0,0.69,2427,52,625.0,303.0
6446,798972183,Cancelado,49,F,2,Não informado,Solteiro,$40K - $60K,Blue,43,1,3,2,1643.0,526,1117.0,829.0,2520,38,583.0,0.32
6454,714250908,Cancelado,53,F,2,Ensino Superior,Casado,Less than $40K,Blue,47,3,4,2,2927.0,2517,410.0,419.0,2231,60,875.0,0.86
6459,719384433,Cancelado,44,F,3,Ensino Médio,Divorciado,Less than $40K,Blue,28,5,2,3,1877.0,1203,674.0,654.0,2581,57,781.0,641.0
6464,789880533,Cancelado,46,F,4,Ensino Superior,Solteiro,$40K - $60K,Blue,36,5,3,4,5913.0,1651,4262.0,0.79,2404,39,0.56,279.0
6465,711221958,Cancelado,43,F,3,Ensino Superior,Solteiro,$40K - $60K,Blue,26,3,2,2,2867.0,0,2867.0,703.0,2646,41,464.0,0.0
6468,716368008,Cancelado,54,F,1,Ensino Superior,Casado,Não informado,Blue,36,4,2,2,3137.0,959,2178.0,1008.0,2925,41,414.0,306.0
6469,712092783,Cancelado,47,F,3,Doutorado,Solteiro,Less than $40K,Blue,40,6,2,3,2437.0,0,2437.0,664.0,2027,42,448.0,0.0
6476,708726708,Cancelado,42,F,3,Ensino Superior,Solteiro,$40K - $60K,Blue,36,6,2,3,1451.0,599,852.0,752.0,2192,35,458.0,413.0
6478,712767858,Cancelado,42,F,0,Ensino Superior Incompleto,Solteiro,$40K - $60K,Blue,30,5,2,3,1438.3,1223,215.3,491.0,2181,43,593.0,0.85
6480,712445583,Cancelado,33,F,0,Ensino Superior Incompleto,Solteiro,Não informado,Blue,15,3,1,4,2299.0,0,2299.0,663.0,2323,47,469.0,0.0
6482,713891133,Cancelado,41,F,2,Não informado,Solteiro,Less than $40K,Blue,36,3,2,2,1438.3,834,604.3,407.0,1890,43,387.0,0.58
6484,779279883,Cancelado,60,F,2,Ensino Médio,Casado,Less than $40K,Blue,42,3,3,2,1438.3,0,1438.3,61.0,1628,42,77.0,0.0
6491,712953483,Cancelado,64,F,0,Ensino Superior,Solteiro,Less than $40K,Blue,36,1,3,4,1682.0,0,1682.0,0.75,1811,39,0.5,0.0
6492,779029458,Cancelado,54,F,1,Post-Ensino Superior,Solteiro,Less than $40K,Blue,35,4,3,3,1724.0,0,1724.0,0.67,2725,47,424.0,0.0
6501,765459858,Cancelado,47,M,3,Ensino Superior,Divorciado,Less than $40K,Blue,40,4,4,3,6397.0,0,6397.0,632.0,2511,56,556.0,0.0
6502,714894708,Cancelado,53,M,1,Sem ensino formal,Não informado,$120K +,Blue,45,4,4,2,23958.0,2517,21441.0,702.0,2777,45,552.0,105.0
6506,720130233,Cancelado,48,M,2,Ensino Médio,Solteiro,$60K - $80K,Blue,36,4,3,1,1641.0,0,1641.0,791.0,2536,45,364.0,0.0
6515,718279008,Cancelado,44,M,3,Ensino Médio,Solteiro,$60K - $80K,Silver,36,5,2,3,25276.0,0,25276.0,849.0,2282,38,583.0,0.0
6521,814091058,Cancelado,38,F,1,Ensino Superior Incompleto,Solteiro,Less than $40K,Blue,33,6,2,3,3119.0,2517,602.0,722.0,2492,50,515.0,807.0
6522,710555433,Cancelado,42,F,4,Ensino Superior,Solteiro,Less than $40K,Blue,36,6,2,2,2803.0,0,2803.0,623.0,2216,40,0.6,0.0
6524,718263108,Cancelado,44,F,3,Não informado,Divorciado,Less than $40K,Blue,32,3,3,2,1693.0,1457,236.0,919.0,2829,42,615.0,861.0
6529,779931783,Cancelado,52,M,2,Ensino Médio,Solteiro,$120K +,Blue,38,6,3,3,34516.0,0,34516.0,639.0,2213,47,382.0,0.0
6534,712691883,Cancelado,41,F,2,Ensino Médio,Casado,Less than $40K,Blue,36,3,2,2,2811.0,2404,407.0,491.0,2245,41,464.0,855.0
6535,712611108,Cancelado,59,F,1,Não informado,Solteiro,Less than $40K,Blue,53,5,6,2,7501.0,2517,4984.0,663.0,2280,49,531.0,336.0
6541,708316008,Cancelado,59,F,1,Ensino Superior,Solteiro,Não informado,Blue,36,3,2,3,10031.0,0,10031.0,238.0,1792,29,74.0,0.0
6543,711846183,Cancelado,38,F,3,Ensino Superior,Solteiro,$40K - $60K,Blue,26,3,2,3,2669.0,0,2669.0,0.67,2271,31,722.0,0.0
6544,720612333,Cancelado,44,F,3,Ensino Superior Incompleto,Solteiro,Less than $40K,Blue,28,6,2,2,1951.0,0,1951.0,772.0,2697,45,731.0,0.0
6546,710525508,Cancelado,48,F,2,Ensino Médio,Casado,Less than $40K,Blue,36,6,3,3,1438.3,455,983.3,626.0,2090,50,562.0,316.0
6547,757854858,Cancelado,50,M,2,Não informado,Casado,$60K - $80K,Blue,43,4,3,4,3143.0,0,3143.0,764.0,2297,37,321.0,0.0
6551,714319233,Cancelado,44,M,5,Ensino Superior,Divorciado,$60K - $80K,Blue,36,3,3,6,6538.0,0,6538.0,556.0,2132,33,571.0,0.0
6559,709232808,Cancelado,44,F,3,Não informado,Divorciado,$40K - $60K,Blue,34,2,3,2,1689.0,0,1689.0,202.0,1588,37,276.0,0.0
6561,711474333,Cancelado,57,F,2,Sem ensino formal,Solteiro,Less than $40K,Blue,51,3,5,2,1614.0,0,1614.0,241.0,1690,38,357.0,0.0
6564,714527433,Cancelado,39,M,4,Ensino Superior,Casado,$80K - $120K,Blue,30,5,2,2,17523.0,0,17523.0,424.0,1974,54,688.0,0.0
6569,714014733,Cancelado,33,M,2,Ensino Superior Incompleto,Solteiro,$80K - $120K,Blue,36,4,3,2,9642.0,1431,8211.0,561.0,2172,33,571.0,148.0
6571,712733958,Cancelado,46,F,2,Não informado,Solteiro,Less than $40K,Blue,36,6,3,3,1731.0,0,1731.0,529.0,2304,46,1.0,0.0
6576,716122008,Cancelado,44,F,3,Não informado,Casado,Less than $40K,Blue,35,3,3,2,1855.0,0,1855.0,988.0,2544,27,929.0,0.0
6577,714960408,Cancelado,44,F,3,Ensino Superior Incompleto,Solteiro,Less than $40K,Blue,34,4,3,1,1605.0,890,715.0,742.0,2722,45,0.5,555.0
6578,772382283,Cancelado,46,F,3,Ensino Superior,Casado,Less than $40K,Blue,36,3,3,3,2302.0,1593,709.0,671.0,2689,49,324.0,692.0
6580,714266883,Cancelado,54,F,4,Post-Ensino Superior,Não informado,Less than $40K,Blue,44,5,3,3,2440.0,503,1937.0,415.0,2334,51,594.0,206.0
6582,717219933,Cancelado,47,F,3,Não informado,Solteiro,Less than $40K,Blue,35,4,3,6,2402.0,628,1774.0,689.0,1930,48,0.6,261.0
6583,719986758,Cancelado,46,F,2,Não informado,Solteiro,$40K - $60K,Blue,33,5,3,6,3001.0,0,3001.0,0.74,2577,39,444.0,0.0
6591,806140383,Cancelado,59,M,2,Ensino Médio,Solteiro,$80K - $120K,Blue,54,3,2,2,2791.0,2396,395.0,889.0,2658,43,344.0,858.0
6598,751518633,Cancelado,48,M,5,Post-Ensino Superior,Solteiro,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,553.0,2260,50,786.0,73.0
6602,712395408,Cancelado,51,F,3,Ensino Superior,Divorciado,Less than $40K,Blue,41,5,3,3,1495.0,691,804.0,705.0,2552,42,556.0,462.0
6603,818459733,Cancelado,41,M,3,Doutorado,Solteiro,$120K +,Blue,26,3,2,2,9220.0,0,9220.0,733.0,2276,32,0.6,0.0
6604,708867408,Cancelado,52,M,2,Ensino Médio,Casado,$60K - $80K,Blue,40,3,4,2,23128.0,1958,21170.0,604.0,2050,35,667.0,85.0
6606,810271083,Cancelado,47,F,3,Não informado,Solteiro,$40K - $60K,Blue,42,1,5,3,14897.0,0,14897.0,489.0,2164,53,606.0,0.0
6617,719420883,Cancelado,56,F,4,Ensino Superior,Não informado,Less than $40K,Blue,44,5,3,3,1677.0,0,1677.0,835.0,2477,45,324.0,0.0
6622,753365883,Cancelado,44,F,3,Não informado,Solteiro,Não informado,Blue,37,3,2,3,1900.0,0,1900.0,864.0,2298,45,452.0,0.0
6625,717915783,Cancelado,60,M,0,Não informado,Casado,$60K - $80K,Blue,47,5,1,3,4541.0,1037,3504.0,825.0,2829,44,467.0,228.0
6640,708298233,Cancelado,49,F,3,Ensino Superior,Casado,Less than $40K,Blue,37,4,2,1,6184.0,0,6184.0,476.0,1756,49,324.0,0.0
6644,712329933,Cancelado,47,F,1,Ensino Médio,Não informado,Less than $40K,Blue,41,6,3,2,3654.0,0,3654.0,0.63,1998,44,467.0,0.0
6650,795784008,Cancelado,44,F,3,Ensino Superior,Casado,Less than $40K,Blue,38,4,2,3,3889.0,2517,1372.0,405.0,1718,37,276.0,647.0
6657,720275358,Cancelado,47,M,2,Ensino Superior,Casado,$40K - $60K,Blue,30,4,3,2,1889.0,0,1889.0,874.0,2479,46,533.0,0.0
6660,710727333,Cancelado,49,F,3,Ensino Médio,Casado,Less than $40K,Blue,36,4,2,2,1763.0,0,1763.0,896.0,2813,43,536.0,0.0
6663,807136758,Cancelado,58,F,2,Ensino Médio,Casado,Less than $40K,Blue,53,3,0,2,1944.0,0,1944.0,613.0,2412,40,481.0,0.0
6664,715400733,Cancelado,43,F,3,Sem ensino formal,Casado,$40K - $60K,Blue,36,6,4,3,1438.3,0,1438.3,747.0,2116,38,583.0,0.0
6667,711389358,Cancelado,42,M,3,Ensino Superior,Casado,$40K - $60K,Blue,23,5,3,2,5791.0,2517,3274.0,0.69,2516,64,641.0,435.0
6671,711253383,Cancelado,48,F,2,Não informado,Casado,Não informado,Blue,38,6,2,3,4382.0,0,4382.0,714.0,2446,34,417.0,0.0
6673,794554683,Cancelado,41,F,4,Ensino Superior,Casado,Less than $40K,Blue,26,4,2,2,3159.0,0,3159.0,916.0,2925,46,353.0,0.0
6684,711323283,Cancelado,57,M,2,Sem ensino formal,Casado,$60K - $80K,Blue,41,3,3,2,2527.0,1030,1497.0,714.0,2767,43,387.0,408.0
6700,720711483,Cancelado,56,F,1,Ensino Médio,Casado,Não informado,Blue,42,5,2,3,3674.0,2517,1157.0,854.0,2608,45,731.0,685.0
6708,809440008,Cancelado,39,F,2,Ensino Médio,Solteiro,Não informado,Blue,34,3,3,1,2069.0,550,1519.0,783.0,2716,43,433.0,266.0
6715,711237633,Cancelado,49,M,0,Ensino Superior,Casado,$60K - $80K,Blue,29,3,3,3,1460.0,0,1460.0,738.0,2329,36,0.5,0.0
6717,718913358,Cancelado,36,M,2,Ensino Superior,Solteiro,Less than $40K,Blue,36,3,3,3,4225.0,2517,1708.0,662.0,2659,43,387.0,596.0
6719,718452633,Cancelado,35,F,4,Ensino Superior,Casado,Não informado,Blue,36,4,3,3,1931.0,0,1931.0,695.0,2569,46,394.0,0.0
6720,769883733,Cancelado,46,M,3,Post-Ensino Superior,Solteiro,$40K - $60K,Blue,40,3,4,2,2344.0,0,2344.0,412.0,2098,31,409.0,0.0
6731,711122958,Cancelado,41,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,33,5,3,3,1764.0,0,1764.0,552.0,2105,57,839.0,0.0
6739,708606633,Cancelado,56,F,3,Ensino Superior,Casado,$40K - $60K,Blue,44,6,3,4,1544.0,0,1544.0,315.0,1902,35,0.4,0.0
6743,713115483,Cancelado,44,F,3,Sem ensino formal,Casado,Less than $40K,Blue,36,6,3,3,1684.0,0,1684.0,557.0,2275,45,607.0,0.0
6761,713186058,Cancelado,42,F,3,Não informado,Casado,$40K - $60K,Blue,36,4,2,3,1438.3,0,1438.3,0.58,2191,51,457.0,0.0
6764,789241308,Cancelado,54,F,2,Não informado,Não informado,Less than $40K,Blue,39,4,3,3,1438.3,0,1438.3,0.72,2145,41,519.0,0.0
6770,778272408,Cancelado,52,M,1,Não informado,Divorciado,$80K - $120K,Blue,42,4,4,2,5763.0,0,5763.0,615.0,2310,48,714.0,0.0
6777,715328658,Cancelado,41,F,5,Post-Ensino Superior,Casado,Less than $40K,Blue,36,5,3,3,1495.0,0,1495.0,686.0,2622,70,628.0,0.0
6778,708918558,Cancelado,37,F,2,Ensino Superior,Casado,$40K - $60K,Blue,36,5,3,2,1959.0,662,1297.0,888.0,3046,52,793.0,338.0
6783,721480158,Cancelado,50,F,2,Não informado,Casado,Less than $40K,Blue,43,3,3,2,1438.3,910,528.3,0.66,2370,44,467.0,633.0
6785,709100283,Cancelado,36,F,2,Ensino Médio,Solteiro,Não informado,Blue,26,3,2,2,5956.0,2517,3439.0,877.0,2828,46,484.0,423.0
6790,713466033,Cancelado,39,F,2,Ensino Superior,Divorciado,Less than $40K,Blue,36,5,2,3,2092.0,0,2092.0,422.0,2015,33,269.0,0.0
6801,709064208,Cancelado,43,F,2,Sem ensino formal,Solteiro,Less than $40K,Blue,32,4,3,6,1628.0,275,1353.0,0.69,2219,49,531.0,169.0
6810,719630358,Cancelado,50,F,4,Ensino Médio,Casado,Less than $40K,Blue,36,1,3,2,3546.0,0,3546.0,791.0,2616,47,469.0,0.0
6811,712399308,Cancelado,38,F,3,Ensino Médio,Não informado,Less than $40K,Blue,36,5,3,3,2989.0,2387,602.0,437.0,2143,67,558.0,799.0
6822,717255333,Cancelado,40,M,3,Ensino Superior,Solteiro,$80K - $120K,Blue,36,1,2,2,6921.0,0,6921.0,824.0,2729,44,467.0,0.0
6826,708793008,Cancelado,46,M,3,Doutorado,Divorciado,$80K - $120K,Blue,35,5,3,3,9949.0,0,9949.0,574.0,2207,40,481.0,0.0
6839,718303683,Cancelado,36,F,2,Ensino Superior,Casado,Less than $40K,Blue,23,4,2,2,1666.0,813,853.0,813.0,2622,60,818.0,488.0
6848,708660408,Cancelado,40,F,1,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,36,4,2,4,1737.0,1689,48.0,644.0,2459,43,536.0,972.0
6859,711671058,Cancelado,48,F,1,Sem ensino formal,Casado,Não informado,Blue,38,5,2,2,1438.3,0,1438.3,574.0,2171,38,462.0,0.0
6861,808747233,Cancelado,50,M,2,Doutorado,Casado,$120K +,Silver,45,6,3,3,34516.0,0,34516.0,771.0,2573,55,719.0,0.0
6862,713084208,Cancelado,43,M,4,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,32,6,3,3,4373.0,0,4373.0,623.0,2397,46,484.0,0.0
6864,709803258,Cancelado,48,M,2,Não informado,Casado,$80K - $120K,Blue,28,5,2,3,12073.0,0,12073.0,541.0,2400,52,793.0,0.0
6868,818699208,Cancelado,47,F,4,Post-Ensino Superior,Casado,Não informado,Blue,42,4,4,4,6451.0,0,6451.0,706.0,2400,43,433.0,0.0
6870,719516208,Cancelado,54,M,2,Ensino Superior Incompleto,Solteiro,$120K +,Blue,36,3,2,3,34516.0,0,34516.0,628.0,2329,47,516.0,0.0
6871,717026658,Cancelado,43,F,3,Sem ensino formal,Casado,Less than $40K,Blue,32,6,3,3,1897.0,0,1897.0,645.0,2866,47,469.0,0.0
6891,766021083,Cancelado,55,F,1,Ensino Superior Incompleto,Solteiro,Less than $40K,Blue,48,3,5,3,2114.0,546,1568.0,619.0,2578,42,0.75,258.0
6893,719756133,Cancelado,34,M,4,Sem ensino formal,Solteiro,$60K - $80K,Blue,20,3,2,6,3940.0,1384,2556.0,908.0,3257,53,767.0,351.0
6895,713261133,Cancelado,38,M,4,Ensino Superior,Não informado,$60K - $80K,Blue,22,5,2,3,8632.0,0,8632.0,395.0,2221,40,739.0,0.0
6900,768243858,Cancelado,54,M,3,Ensino Médio,Casado,$80K - $120K,Blue,48,3,4,3,3288.0,2517,771.0,0.84,2717,46,438.0,766.0
6907,709649958,Cancelado,62,M,0,Post-Ensino Superior,Divorciado,$60K - $80K,Silver,46,4,5,6,28229.0,287,27942.0,594.0,2281,45,552.0,0.01
6913,717072108,Cancelado,50,F,2,Não informado,Solteiro,$40K - $60K,Blue,36,3,3,2,2762.0,0,2762.0,684.0,2571,44,419.0,0.0
6914,721460283,Cancelado,49,F,3,Post-Ensino Superior,Solteiro,Less than $40K,Blue,35,5,1,2,2214.0,915,1299.0,533.0,2144,51,545.0,413.0
6924,719577258,Cancelado,43,F,2,Sem ensino formal,Divorciado,Less than $40K,Blue,30,3,3,4,6811.0,0,6811.0,677.0,1937,39,0.56,0.0
6927,772528158,Cancelado,55,F,3,Não informado,Solteiro,Less than $40K,Blue,45,4,3,4,1741.0,0,1741.0,0.84,2546,42,0.4,0.0
6928,718707933,Cancelado,54,M,2,Sem ensino formal,Casado,$60K - $80K,Blue,35,4,3,4,2189.0,382,1807.0,884.0,2750,51,594.0,175.0
6935,771638733,Cancelado,49,M,3,Doutorado,Solteiro,$40K - $60K,Blue,37,5,2,3,4354.0,0,4354.0,738.0,2750,59,686.0,0.0
6942,713930433,Cancelado,57,M,2,Sem ensino formal,Não informado,$80K - $120K,Blue,36,5,3,3,4316.0,0,4316.0,363.0,1920,53,472.0,0.0
6944,772162683,Cancelado,34,F,2,Ensino Superior,Casado,Less than $40K,Blue,23,6,2,2,3116.0,0,3116.0,698.0,2768,45,667.0,0.0
6945,712531008,Cancelado,43,M,3,Não informado,Casado,$120K +,Blue,34,4,3,2,24868.0,794,24074.0,649.0,2510,32,231.0,32.0
6952,716709858,Cancelado,34,F,1,Sem ensino formal,Não informado,Less than $40K,Blue,25,1,2,3,3074.0,0,3074.0,718.0,2721,54,688.0,0.0
6957,814765533,Cancelado,44,F,4,Ensino Médio,Solteiro,$40K - $60K,Blue,39,4,3,3,10587.0,2517,8070.0,1052.0,2971,54,742.0,238.0
6968,826421958,Cancelado,46,F,1,Ensino Médio,Casado,Less than $40K,Blue,42,5,4,1,1438.3,0,1438.3,637.0,1843,44,0.63,0.0
6970,708158133,Cancelado,45,M,3,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,36,3,2,2,3031.0,2517,514.0,409.0,2188,50,389.0,0.83
6978,708653958,Cancelado,38,M,3,Ensino Superior Incompleto,Casado,$60K - $80K,Blue,36,5,2,2,6114.0,1461,4653.0,772.0,2608,36,385.0,239.0
6979,712161858,Cancelado,55,F,5,Não informado,Solteiro,Less than $40K,Blue,36,4,2,3,1438.3,0,1438.3,571.0,2244,54,929.0,0.0
6992,780143283,Cancelado,43,F,3,Ensino Superior,Casado,$40K - $60K,Blue,32,4,3,3,2701.0,2498,203.0,637.0,2678,37,609.0,925.0
6995,719881533,Cancelado,46,M,2,Ensino Superior Incompleto,Casado,$40K - $60K,Silver,34,5,3,4,16547.0,0,16547.0,242.0,1561,41,367.0,0.0
6998,771783333,Cancelado,49,F,1,Sem ensino formal,Divorciado,$40K - $60K,Blue,37,6,2,2,2173.0,0,2173.0,652.0,2379,57,781.0,0.0
7009,711274458,Cancelado,38,F,3,Ensino Médio,Casado,Less than $40K,Blue,27,4,3,3,1438.3,0,1438.3,0.73,2478,45,552.0,0.0
7014,714035283,Cancelado,56,F,1,Post-Ensino Superior,Casado,Less than $40K,Blue,36,6,2,2,2802.0,2256,546.0,615.0,2371,46,353.0,805.0
7018,708376983,Cancelado,58,F,1,Não informado,Solteiro,Não informado,Blue,50,5,2,2,8513.0,799,7714.0,451.0,2119,37,542.0,94.0
7020,711862533,Cancelado,55,F,1,Sem ensino formal,Casado,Less than $40K,Blue,36,5,3,2,2258.0,2000,258.0,611.0,2500,42,0.68,886.0
7021,772407333,Cancelado,41,F,3,Não informado,Casado,Less than $40K,Blue,30,5,3,3,1654.0,0,1654.0,329.0,1730,30,364.0,0.0
7028,720654183,Cancelado,45,M,4,Ensino Superior,Casado,$80K - $120K,Blue,35,2,3,3,23542.0,1307,22235.0,462.0,2152,46,438.0,56.0
7031,779348358,Cancelado,52,F,1,Sem ensino formal,Solteiro,Less than $40K,Blue,37,5,3,4,1717.0,0,1717.0,1028.0,3004,46,586.0,0.0
7037,827051808,Cancelado,44,F,0,Ensino Superior Incompleto,Casado,Less than $40K,Blue,40,5,4,2,7499.0,1083,6416.0,716.0,2478,45,667.0,144.0
7038,710484408,Cancelado,39,M,4,Post-Ensino Superior,Casado,$120K +,Blue,29,6,3,3,8700.0,1742,6958.0,454.0,2306,50,613.0,0.2
7039,817108083,Cancelado,55,M,3,Não informado,Solteiro,$60K - $80K,Blue,35,3,3,3,14266.0,1341,12925.0,309.0,1625,34,0.36,94.0
7047,813449508,Cancelado,61,M,0,Ensino Superior,Casado,$60K - $80K,Blue,56,6,2,3,9918.0,850,9068.0,688.0,2485,40,0.29,86.0
7051,713474733,Cancelado,51,M,2,Ensino Superior,Solteiro,$80K - $120K,Blue,31,5,3,2,1438.3,327,1111.3,528.0,1783,40,481.0,227.0
7059,790119408,Cancelado,48,F,3,Sem ensino formal,Casado,Less than $40K,Blue,41,5,3,2,4960.0,0,4960.0,882.0,2430,48,548.0,0.0
7063,708684108,Cancelado,46,F,4,Ensino Superior,Casado,$40K - $60K,Blue,34,5,3,1,4152.0,1446,2706.0,826.0,2218,30,304.0,348.0
7065,803115258,Cancelado,62,M,0,Ensino Superior Incompleto,Não informado,$40K - $60K,Blue,56,2,6,2,3477.0,0,3477.0,436.0,2113,40,739.0,0.0
7070,708736608,Cancelado,40,M,3,Ensino Superior,Casado,$120K +,Blue,27,5,3,2,2269.0,0,2269.0,572.0,2108,39,0.56,0.0
7071,713047608,Cancelado,40,F,2,Ensino Superior Incompleto,Não informado,Less than $40K,Blue,36,6,1,3,2387.0,2013,374.0,449.0,2134,41,952.0,843.0
7073,711886383,Cancelado,54,F,5,Ensino Médio,Casado,Não informado,Blue,44,5,3,3,5342.0,605,4737.0,691.0,2426,46,394.0,113.0
7074,713058858,Cancelado,54,F,2,Ensino Superior,Não informado,Less than $40K,Blue,46,5,3,2,1695.0,913,782.0,449.0,2130,48,0.5,539.0
7080,714789033,Cancelado,54,F,1,Ensino Superior,Casado,Less than $40K,Blue,50,3,3,3,3173.0,2517,656.0,619.0,2763,51,821.0,793.0
7081,809811858,Cancelado,43,M,5,Ensino Médio,Não informado,$80K - $120K,Blue,38,3,3,2,1504.0,0,1504.0,987.0,2530,43,344.0,0.0
7082,826709658,Cancelado,45,F,3,Ensino Superior,Divorciado,$40K - $60K,Blue,41,1,3,3,1477.0,0,1477.0,768.0,2214,43,654.0,0.0
7091,719098308,Cancelado,56,F,2,Ensino Médio,Solteiro,Less than $40K,Blue,42,5,4,2,2423.0,268,2155.0,804.0,2516,59,639.0,111.0
